nr_albumu,nazwisko,imie,wiek,grupa
100,Tomasa,Alexander,24,2
101,Marcela,Juan,24,4
102,Maite,William,24,3
103,Antônia,Enrico,23,1
104,Lara,Amaro,24,3
105,Maria Elisa,Gael,23,2
106,Ainhoa,Grayson,23,3
107,Noemí,Alejandro,23,3
108,Blanche,Emilio,22,1
109,Sadie,Carlos,22,2
110,Isabelle,Daniel,21,2
111,Isabella,Marcos,23,4
112,Fernanda,Juan,25,2
113,Tara,Cole,24,2
114,Isla,Dominic,24,4
115,Consuelo,Maikel,21,3
116,Hailey,David,24,2
117,Sienna,Mariano,25,2
118,Isidora,Tristan,24,4
119,Milena,Daniel,25,4
120,Taylor,Diego,20,3
121,Isabella,Benjamín,22,4
122,Liz Maria,Benício,24,4
123,Belén,Estêvão,22,2
124,Bárbara,Anthony Miguel,24,3
125,Ruby,Cristóbal,25,3
126,Mya,Tonino,21,2
127,Rayén,Juan,20,2
128,Cynthia,Samuel Henrique,22,3
129,Andreina,Oscar,22,1
130,Claire,Gavin,21,3
131,Carlotta,Dominic,20,3
132,Gabriella,Mathias,24,2
133,Madison,Manolito,20,4
134,Hannah,Renan,20,3
135,Victoria,Bernardo,24,1
136,Josefa,Parker,23,3
137,Keira,Samuel,22,3
138,Ella,Leopoldo,21,3
139,Isabel,Kauê,23,1
140,Mackenzie,India,22,3
141,Catalina,Cipriano,24,3
142,Sienna,Javier,19,4
143,Allison,Xavi,22,1
144,Nova,Emilio,19,2
145,Danae,Kaique,22,3
146,Lia,Julian,24,3
147,Elena,Napoleon,22,2
148,Aaliyah,Mario,24,3
149,Clara,Damián,25,1
150,Montserrat,Pablo,22,3
151,Aurora,José,21,2
152,Silvia,Marcos,20,3
153,María,Andrew,19,2
154,Luciana,Cayetano,24,1
155,Yohanna,Osorio,23,3
156,Brielle,Ignacio,21,1
157,Carolina,Simón,21,2
158,Emily,Luiz Antônio,24,2
159,Maya,Alexander,23,4
160,Maria Eloá,Tonio,22,1
161,Amy,Isaias,21,3
162,Yasmin,Luca,21,3
163,Tatiana,Josue,22,4
164,Alana,Levi,21,1
165,Riley,Maximiliano,20,2
166,Maya,Guillermo,19,2
167,Maísa,João Felipe,22,3
168,Amanda,Paulo Henrique,24,2
169,Ramona,Lucas,21,3
170,Laura Beatriz,Arthur Felipe,24,3
171,Alicia,Sebastian,23,3
172,Melina,Andrew,20,2
173,Agustina,Augusto,25,2
174,Luz,Pedro,23,4
175,Aylin,Ricardo,23,2
176,Ana Vitória,Abraham,23,4
177,Cari,Elias,22,2
178,Diana,Vicente,22,4
179,Amalia,Efraín,23,3
180,Luna,Wyatt,25,2
181,Diana,Heriberto,24,2
182,Jade,Ethan,21,3
183,Maria Antônia,Emilio,24,3
184,Paula,Jayden,25,2
185,Dominga,Elias,23,3
186,Antonella,Rodolfo,20,3
187,Sophie,Mariano,21,4
188,Lily,Davi Lucca,21,3
189,Hannah,Emilio,23,4
190,Evelyn,Rosendo,23,3
191,Elisa,Charlie,25,2
192,Agustina,Ryan,24,4
193,Carlota,Carson,23,1
194,Rosalia,Elliot,22,3
195,Xóchitl,Theodore,22,2
196,Yazmin,Bennett,22,2
197,Victoria,Damián,23,3
198,Manuelly,Dylan,24,2
199,Ophelia,Gavin,19,4
200,Dolores,Dario,19,2
201,Bettina,Liam,23,3
202,Brielle,Álvaro,20,2
203,Dominique,Gustavo,22,2
204,Kiara,Elias,22,2
205,Ester,Mateo,23,1
206,Delia,Alan,21,4
207,Ana Sophia,Hudson,22,4
208,Samara,Nicolás,21,2
209,Amelia,João Antônio,23,3
210,Alexia,Guillermo,25,1
211,Tina,Oliver,23,4
212,Constanza,Geronimo,21,1
213,Lauren,Miguel,21,2
214,Bruna,Abelardo,23,2
215,Autumn,Nicolas Gabriel,22,1
216,Sara,Liam,25,3
217,Joana,Dante,24,3
218,Leonor,Saulo,19,4
219,Ariella,Pablo,21,4
220,Millaray,Luis,20,2
221,Scarlett,Leo,24,1
222,Maria Eduarda,José,21,3
223,Maite,Ethan,24,2
224,Scarlett,Luis,24,2
225,Pérola,Caio,19,3
226,Manuela,Isaias,23,4
227,Rachel,Luciano,20,3
228,Ana Vitória,Enrico,24,1
229,Madelyn,Danilo,23,4
230,Micaela,List,19,2
231,Paisley,William,23,3
232,Ashley,João Pedro,25,1
233,Maria Flor,Davi Miguel,22,4
234,Melinda,Camilo,20,3
235,Analu,Germany,25,4
236,Tatiana,Kaique,25,3
237,Paloma,Álvaro,24,3
238,Milena,Lorenzo Gabriel,21,2
239,Fernanda,Ademar,23,2
240,Lupita,Pedro Lucas,23,3
241,Elisa,Juan,22,4
242,Jacin,Vicente,24,4
243,Evelyn,Estêvão,20,3
244,Pía,Matías,22,3
245,Jacqueline,João Vicente,20,3
246,Yasmin Vitória,Matías,22,4
247,Elena,Abraham,22,2
248,Liz,Adan,24,3
249,Flavia,Damián,20,4
250,Isabel,Feliciano,23,3
251,Carlotta,Samuel,24,3
252,Lía,Damián,21,4
253,Camilly,Suero,22,1
254,Layla,Ezequiel,20,2
255,Maria Valentina,Leandro,20,3
256,Arianna,Manuel,22,3
257,Paz,Carson,24,1
258,Madison,Paco,22,2
259,Antonella,João Miguel,23,3
260,Amanda,Mateo,24,4
261,Guiomar,David,23,4
262,Brielle,Theodoro,25,2
263,Ashley,Juan,24,2
264,Carlota,Vitor,20,3
265,Maruja,Pedro Miguel,24,2
266,Elena,Felipe,24,2
267,Ivonne,Germany,22,1
268,Viola,Fulgencio,20,2
269,Antonia,Isaac,21,2
270,Manoela,Roberto,19,2
271,Amparo,Nicolas Gabriel,19,1
272,Natália,Obdulio,25,4
273,Mercedes,Angel,20,2
274,Génesis,Australia,24,3
275,Hannah,Pietro Henrique,21,4
276,Madison,Aaron,20,1
277,Josefa,Ricardo,19,2
278,Taylor,Matías,23,2
279,Maria Elisa,Maverick,19,3
280,Eva,Antonin,24,4
281,Pía,Carlito,19,2
282,Violeta,Juan,21,3
283,Rosalia,Miguel,19,2
284,Bianca,Gonzalo,24,2
285,Mariana,Thomas,20,4
286,Ámbar,Marcelo,25,2
287,Xóchitl,Leon,23,4
288,Gabriela,Evan,21,2
289,Yohanna,Murilo,23,2
290,Mayra,Thomas,22,4
291,Alyssa,Pedro,24,3
292,Celeste,Marcelo,19,2
293,Eva,Lucca,20,2
294,Laura,Alexandre,22,4
295,Yasmin,Rodrigo,21,2
296,Amelia,Dylan,21,3
297,Isabel,Luan,19,1
298,Maria Fernanda,Christian,20,3
299,Victoria,João Gabriel,23,2
300,Marisela,Pedro Henrique,20,2
301,Julia,Ravi,19,2
302,María,Liam,21,1
303,Carlotta,Luiz Eduardo,19,4
304,Maura,Antonin,19,3
305,Bella,Ricardo,24,3
306,Zoe,Emanuel,24,2
307,Anne,Cuauhtémoc,23,3
308,Bárbara,Víctor,22,4
309,Matilda,Zayn,19,4
310,Carolina,Hunter,22,4
311,Mariana,Arthur Gabriel,23,3
312,Amy,Elbio,21,3
313,Rocío,Ginés,24,2
314,Erika,Australia,19,4
315,Abigail,Lucas,20,3
316,Celia,Bennett,21,3
317,Brielle,Kevin,22,2
318,Victoria,Zachary,22,3
319,Leonor,Saulo,23,3
320,Millaray,Brazil,21,3
321,Monserrat,Alphons,24,3
322,Nova,Theo,22,2
323,Amelia,Hernándo,25,2
324,Victoria,Alfonso,23,2
325,Laura Sophia,Everett,19,3
326,Nena,Ignacio,22,3
327,Tatiana,Dante,21,3
328,Natalie,Tono,24,3
329,Ámbar,André,22,3
330,Paloma,João,19,3
331,Pérola,Adam,21,3
332,Mariah,Owen,20,2
333,Stella,Nuño,23,2
334,Mariana,Abel,20,3
335,Helena,Cristóbal,25,2
336,Lara,Theodore,23,1
337,Anaís,Gaspar,21,3
338,Rafaela,Liam,23,2
339,Allison,José,24,3
340,Sophia Emanuelly,Aznar,21,2
341,Maite,José Augusto,19,2
342,Violeta,Oliver,21,3
343,Scarlett,Joaquim,21,1
344,Aldea,Osvaldo,24,1
345,Magdalena,Nathan,21,2
346,Josefina,Elias,21,4
347,Alice Vitória,Max,23,3
348,Taylor,Alfredo,24,3
349,Isidora,Valentim,24,2
350,Sophia,Flavio,24,3
351,Paz,Aaron,19,3
352,Aria,Héctor,25,4
353,Chloe,Henrique,24,4
354,Eloá,Gaspar,22,2
355,Abigail,Santiago,21,3
356,Rosalie,Emmett,24,2
357,Maitê,Vitor Hugo,22,2
358,Natalie,Davi Luiz,21,3
359,Lauren,Angel,21,1
360,Eloá Victoria,Australia,20,1
361,Bettina,Arturo,24,3
362,Violeta,Elijah,25,3
363,Celeste,Nicolás,23,3
364,Harper,Víctor,20,3
365,Camila,Ian,19,3
366,Florencia,Fulgencio,21,3
367,Elena,Noe,25,3
368,Mila,Juan,23,4
369,Pierina,João Pedro,22,3
370,Elena,Arthur Miguel,19,4
371,Consuelo,Renato,21,3
372,Beatriz,Tomás,24,2
373,Génesis,Alexis,24,3
374,Amaya,Fabián,24,3
375,Noelia,Arturo,25,2
376,Anabel,Alejandro,20,4
377,Concepción,Jorge,23,3
378,Justina,List,22,2
379,Agatha Sophia,Cole,24,2
380,Rose,Angel,19,4
381,Leah,Arthur,24,2
382,Amanda,Beto,19,1
383,Amanda,Ginés,21,4
384,Tina,Federico,22,4
385,Amalia,Caetano,20,2
386,Nova,Gonzalo,21,2
387,Pietra,Marco,23,1
388,Scarlett,Evan,19,3
389,Florencia,Aquiles,21,2
390,Maria Teresa,Lorenzo,23,2
391,Victoria,Joaquín,20,4
392,Amelia,Luiz Gustavo,21,3
393,Melina,Diego,19,2
394,Ana Vitória,Cristian,22,4
395,Noemí,Isaias,22,1
396,Addison,Maverick,21,1
397,Leah,Gael,20,3
398,Colomba,Francisco,21,2
399,Melania,Pedro,20,3
400,Julieta,Theodoro,22,2
401,Julia,Luiz,24,2
402,Charlotte,Ezequiel,20,2
403,Javiera,José,21,4
404,Lillian,Murilo,20,2
405,Amparo,Juan,23,3
406,Mackenzie,Primitivo,22,2
407,Ana Vitória,Connor,23,2
408,Maria Isis,Esteban,19,2
409,Gabriella,Theodoro,21,3
410,Andrea,Bruno,23,3
411,Amy,Rafa,25,2
412,Lía,Vicente,20,4
413,Helena Vitória,Tonio,25,3
414,Fiorella,Davi Miguel,23,3
415,Catalina,Camilo,21,1
416,Larissa,Luciano,20,3
417,Maria Rita,Bastián,19,3
418,Fernanda,Liam,23,1
419,Júlia,Miguel Henrique,25,3
420,Rafaela,Lorenzo,25,1
421,Matilda,Lorenzo,22,4
422,Mia,Josué,21,2
423,Dominique,Perez,23,1
424,Danae,Manuel,24,1
425,Mackenzie,Gaspar,21,3
426,Chloe,Davi Henrique,22,1
427,Rocío,Felipe,24,1
428,Grace,Josue,21,3
429,Maria Esther,Thales,20,2
430,Sophia Emanuelly,Bennett,19,3
431,Tamara,Matteo,22,4
432,Yohanna,Niño,20,1
433,Olivia,Inácio,24,1
434,Carmelita,Brody,24,1
435,Fiorella,Franco,21,3
436,Amanda,Breno,23,2
437,Simone,Clemente,22,4
438,Jade,Vicente,20,3
439,Magdalena,Alexandre,22,1
440,Georgia,Yago,22,2
441,Liliana,Julián,22,4
442,Bárbara,Nicolas Gabriel,24,2
443,Arielle,Matías,25,3
444,Paulina,Isaac,22,2
445,Aria,Juan,20,3
446,Rafaela,Alejandro,21,4
447,Pascale,Augusto,24,3
448,Ester,Jack,22,3
449,Victoria,Elijah,19,1
450,Millaray,Kevin,20,2
451,Aria,Carson,21,3
452,Piper,Alexander,21,3
453,Antonella,Manuel,20,3
454,Mariana,Simón,21,1
455,Colomba,Lorenzo Henrique,24,2
456,Marisol,Liam,20,1
457,Hannah,Luiz Otávio,21,3
458,Colomba,Narciso,23,1
459,Elisa,Alonso,23,3
460,Ashley,Filipe,20,4
461,Mariah,Francisco,22,4
462,Madelyn,Antonio,21,2
463,Maria Liz,Jorge,20,1
464,Chloe,Aquiles,23,3
465,Diana,Miguel Henrique,23,1
466,Emma,Clemente,20,1
467,Mel,Dominic,23,2
468,Francisca,Luiz,21,3
469,Rayén,Rowan,20,1
470,Monserrat,Blake,20,4
471,Helena Vitória,Samuel,21,2
472,Carolina,Andrés,20,3
473,Esperanza,Dominic,23,1
474,Gabriela,Thomas,24,3
475,Elena,Gaspar,21,2
476,Luna,Augusto,23,3
477,Viola,Julio,20,4
478,Keira,Ryan,20,2
479,Charlotte,León,23,3
480,Mia,India,24,2
481,Isabella,Lincoln,24,2
482,Karina,Augusto,24,3
483,Ainhoa,Yan,22,3
484,Clara,Isaac,21,3
485,Maria Isabel,Caleb,21,2
486,Eloá Victoria,João Arthur,22,3
487,Ema,Nestor,25,2
488,Antonella,Lincoln,21,2
489,Hailey,Maikel,21,3
490,Fernanda,Alberto,21,3
491,Clarice,Rafael,22,4
492,Carolina,Carlos Eduardo,20,3
493,Mariah,Miguel,22,3
494,Constanza,José,23,3
495,Brooklyn,Bryan,19,4
496,Rose,Sebastian,20,4
497,Arianna,Cesar,19,3
498,Rayén,Josue,23,3
499,Ayla Sophia,Samuel,20,2
500,Hailey,Gutierre,19,4
501,Amaya,Leon,24,3
502,Laura,Gaspar,22,1
503,Mackenzie,Zachary,25,3
504,Maite,Renato,21,1
505,Gabriella,Fernando,22,1
506,Penelope,Miguel,21,3
507,Angela,Lukas,20,4
508,Rayén,Gustavo,20,2
509,Rosalie,Benjamín,23,1
510,Olivia,Mason,22,2
511,Harper,João Henrique,25,4
512,Marisa,Ryder,22,2
513,Olivia,Xavier,25,2
514,Ignacia,Rael,24,2
515,Amalia,Leonardo,25,3
516,Mayte,Gabriel,20,4
517,Stella,Alejandro,21,3
518,Amy,José,20,2
519,Julia,Benjamin,21,4
520,Tara,Osorio,25,4
521,Maria,Primitivo,22,2
522,Inez,Marcus,21,2
523,Melania,Hector,21,2
524,Garbiñe,Vicente,22,3
525,Pascal,Jaime,22,4
526,Harper,Arabia,24,2
527,Mayra,Kayden,20,4
528,Autumn,João,25,2
529,Lillian,Ricardo,22,3
530,Ámbar,Lucas,20,3
531,Belén,Jackson,19,3
532,Mia,Christopher,20,2
533,Pía,Eli,20,2
534,Alice,Leon,22,2
535,Pilar,Genovevo,20,2
536,Florencia,Luiz Otávio,21,2
537,Trinidad,Genovevo,24,1
538,Renata,Arthur Gabriel,22,2
539,Mia,Liam,25,2
540,Consuelo,Kaique,20,1
541,Savannah,Hugo,24,4
542,Noelia,Lukas,21,1
543,Maya,William,20,4
544,Paula,Pedro,20,1
545,Georgia,Emmett,20,2
546,Milena,Lukas,20,3
547,Anaís,Théo Henrique,21,4
548,Brooklyn,Pablo,23,3
549,Rosario,Tato,24,3
550,Andreina,Bruno,24,3
551,Leah,Mathias,22,3
552,Charlotte,Simón,23,1
553,Olga,Nacho,21,1
554,Valeria,Carlos,19,1
555,Laura,Fausto,20,3
556,Purita,Armando,24,3
557,Mackenzie,Rodrigo,22,2
558,Antonella,Efraín,22,3
559,Aaliyah,Marcelino,22,4
560,Clara,Guillermo,24,3
561,Ainhoa,Guido,23,4
562,Abigail,Saulo,25,3
563,Arianna,Federico,22,4
564,Nova,Carlos,21,3
565,Trinidad,Easton,22,3
566,Kaylee,Rodrigo,24,4
567,Justina,Hayden,19,3
568,Mariela,Vitor Hugo,20,3
569,Georgia,Maximiliano,21,1
570,Pascale,Theodoro,22,1
571,Nena,Caleb,20,2
572,Ignacia,Cristóbal,20,2
573,Gabriela,Aníbal,23,2
574,Soraya,Hugo,22,2
575,Amalia,William,21,2
576,Paz,Vitor,24,3
577,Ella,Héctor,22,3
578,Marisela,Gustavo,20,4
579,Martina,Mariano,23,1
580,Noelia,Rodrigo,21,2
581,Belén,Ravi,24,2
582,Victoria,Gustavo,21,2
583,Joaquina,Felipe,21,2
584,Pascal,Rogelio,22,3
585,Magdalena,Joaquim,21,3
586,Bárbara,Estêvão,25,4
587,Pascal,Eugenio,20,1
588,Martina,Víctor,24,4
589,Amalia,Carlos,21,3
590,Sara,Brody,20,1
591,Violeta,Hernándo,22,3
592,Clara,Gabriel Henrique,24,4
593,Maya,Maverick,23,2
594,Elena,Pietro,23,4
595,Aubrey,Yan,23,3
596,Layla,Levi,20,3
597,Ilona,Declan,19,2
598,Tomasa,João Paulo,21,2
599,María,Arthur Gabriel,23,4
600,Noelia,Raul,21,2
601,Fernanda,José Lucas,19,1
602,Emilia,José Arthur,20,2
603,Taylor,Jusepe,23,1
604,Alexa,Marcelo,23,4
605,Tina,Logan,23,1
606,Sophie,Genovevo,19,2
607,Elena,Javier,22,2
608,Esperanza,Manuel,24,4
609,Noelia,Valentín,25,3
610,Ignacia,Leandro,20,2
611,Elena,Alexis,23,2
612,Virginia,Luiz Fernando,23,4
613,Urraca,Fernando,22,3
614,Sadie,Riley,22,3
615,Arianna,Enrico,24,2
616,Elena,Michael,21,4
617,Soraya,José Arthur,21,3
618,Eva,Tato,24,2
619,Rocío,Zachary,23,3
620,Maite,Rogelio,22,3
621,Blanca,Rafael,19,2
622,Leonor,Leonardo,23,2
623,Lana,Mason,24,2
624,Eva,Enrique,23,1
625,Matilde,Benjamin,22,3
626,Emilia,Eduardo,19,4
627,Javiera,Guido,19,2
628,Nora,Gabriel,21,3
629,Penelope,Enrique,19,2
630,Antonia,Miguel,24,2
631,Callie,Enrico,23,4
632,Viola,Sebastian,21,4
633,Eva,Luiz Fernando,24,3
634,Aida,Jesús,22,4
635,Dominga,Carlito,20,4
636,Violet,David,23,1
637,Sophie,Henry,23,3
638,Eva,Alejandro,20,4
639,Violet,Arnulfo,23,4
640,Antonia,Henry,22,2
641,Isabelle,Nolan,20,2
642,Aurora,Fabián,22,2
643,Lana,Edward,20,2
644,Camila,Gonzalo,23,4
645,Isabel,Carlos Eduardo,24,3
646,Ashley,Sebastian,20,4
647,Allison,Jayden,19,4
648,Autumn,Jayden,21,1
649,Maya,Aaron,20,3
650,Scarlett,Nolan,21,1
651,Elena,Anthony Gabriel,25,3
652,Teresa,Ítalo,20,3
653,Hilda,Hernándo,24,3
654,Eloísa,Luciano,24,1
655,Nora,Renato,19,1
656,Mayte,Rosendo,24,1
657,Isabella,Nicholas,21,1
658,Noemí,Derick,22,4
659,Madelyn,Rodolfo,22,3
660,Noelia,Gonzalo,20,1
661,Sonia,Leo,20,3
662,Bárbara,Manuel,21,3
663,Eva,Andrew,23,3
664,Matilda,Joseph,23,4
665,Gabriela,Juanma,24,1
666,Victoria,Ethan,21,3
667,Karina,Gavin,22,1
668,Aylin,James,21,2
669,Francisca,Liam,21,3
670,Carla,Arthur Miguel,24,3
671,Vilma,Nathan,20,2
672,Ayla,Richard,23,1
673,Emilia,Guilherme,22,3
674,Nova,Carlos,19,1
675,Olivia,Mariano,22,3
676,Leonor,Carlos,20,3
677,Aurora,Arnaldo,19,2
678,Melina,Miguel,19,3
679,Eva,Augusto,21,2
680,Savannah,Ricardo,21,2
681,Juana,Easton,19,4
682,Audrey,Ethan,20,1
683,Ivette,Noe,22,2
684,Pierina,Benjamin,24,2
685,Javiera,Sebastian,25,1
686,Isabelle,Emilio,24,3
687,Allison,José,24,3
688,Eliana,Adrian,21,3
689,Pascal,Carlos,20,1
690,Quinn,Elliot,23,2
691,Eleanor,Gabriel,20,3
692,Gabriela,Gabriel,20,4
693,Silvia,Gutierre,22,2
694,Virginia,Juanma,19,1
695,Simone,Tomás,20,3
696,Addison,Michael,24,4
697,Penelope,Gonzalo,19,4
698,Montserrat,Valentín,20,2
699,Sophia,Levi,21,4
700,Adriana,Eduardo,23,1
701,Bonita,Harrison,24,2
702,Elisa,Maverick,19,3
703,Paula,Aquiles,22,3
704,Eleanor,Javier,25,2
705,Bárbara,Antero,19,4
706,Mia,Ignacio,21,3
707,Paula,Aznar,19,3
708,Elisa,Mathias,22,1
709,Savannah,Alexandre,20,3
710,Pierina,Raul,24,3
711,Eloísa,Jordan,20,4
712,Millaray,Adrià,24,4
713,Marcela,José Miguel,24,3
714,Gabriela,Lucas,24,1
715,Virginia,Davi Henrique,24,3
716,Brielle,Josue,20,3
717,Génesis,Noe,23,3
718,Ellie,Gaspar,23,3
719,Lauren,Henrique,22,3
720,Aida,Alejandro,20,2
721,Ella,Heitor Henrique,20,1
722,Colomba,Aníbal,20,2
723,Irene,Mario,20,1
724,Jacqueline,Franco,24,3
725,Carla,Isaac,20,2
726,Marisol,Emilio,19,2
727,Savannah,Lucas,21,2
728,Rayén,Zayn,24,2
729,Zoey,Otávio,22,3
730,Danae,Nathan,21,2
731,Isla,Lincoln,24,2
732,Hazel,India,19,4
733,Maura,Hayden,24,3
734,Urraca,Eliseo,20,1
735,Lillian,Emiliano,21,2
736,Antonia,Liam,21,2
737,Amelia,Ícaro,23,4
738,Chara,Edward,25,3
739,Alondra,Juan,22,2
740,Arianna,José,24,3
741,Valeria,Julian,24,1
742,Flavia,Enzo Gabriel,21,1
743,Sadie,Raphael,21,4
744,Rose,Rodrigo,23,3
745,Tomasa,José,24,2
746,Alexa,Luis,20,3
747,Laura,Álvaro,21,3
748,Aylin,Niño,20,1
749,Ester,Alejandro,25,3
750,Rosalia,Ignacio,23,1
751,Keira,Adrià,23,3
752,Avery,Manolo,20,2
753,Nova,Diego,21,1
754,Paloma,Florencio,24,1
755,Stella,Flavio,20,1
756,Matilda,Sebastian,20,3
757,Mia,Carmelo,20,3
758,Sara,Theodoro,22,1
759,Arielle,Adrian,23,2
760,Isabella,Álvaro,21,3
761,Victoria,Santiago,22,1
762,Juana,Roman,24,4
763,Monserrat,Eduardo,24,2
764,Liliana,Joaquim,22,2
765,Abigail,Aiden,22,3
766,Hazel,Diego,20,4
767,Emilia,Gustavo,25,3
768,Emilia,Lucas,22,4
769,Ivy,Gustavo Henrique,20,2
770,Arianna,Cesar,23,3
771,Rachel,Tato,24,3
772,Ana,Silvestre,24,4
773,Iris,Isaac,21,1
774,Taylor,Edward,24,2
775,Alice,Nicolas,19,3
776,Montserrat,Henry Gabriel,22,3
777,Audrey,Liam,25,3
778,Dominga,Sergio,23,2
779,Mariana,David,24,4
780,Kaylee,Abel,23,2
781,Rachel,Alan,21,3
782,Javiera,Damián,20,3
783,Scarlett,Kayden,20,2
784,Olivia,Leonardo,20,2
785,Amalia,Thomas,20,3
786,Rocío,Luiz Antônio,20,4
787,Rocío,Gabriel,21,1
788,Harper,Samuel,24,2
789,Morena,Nathan,20,2
790,Aurora,Mason,22,1
791,Alice,Leo,23,2
792,Andrea,Elliot,20,4
793,Elena,Zayn,20,2
794,Freya,Everett,19,3
795,Rosa,Silvestre,23,3
796,Ainhoa,Zayn,19,3
797,Grace,Santiago,23,2
798,Mercedes,Samuel,21,3
799,Julia,Alan,22,4
800,Ella,Osorio,24,3
801,Antonia,Germany,24,2
802,Luciana,Caleb,19,1
803,Emily,Samuel,21,4
804,Violeta,Christian,25,3
805,Lucía,João Vitor,19,3
806,Ivy,Antonio,21,1
807,Nova,Harrison,25,1
808,Amalia,Carter,20,4
809,Milagros,Agustín,21,2
810,Rafaela,Patricio,23,2
811,Colomba,Bryan,25,4
812,Alice,Pedro Lucas,25,4
813,Mayte,Fernando,25,3
814,Noemí,Jack,25,4
815,Arielle,Charlie,24,4
816,Mayte,Lorenzo,20,1
817,Alondra,Israel,24,2
818,Victoria,Camilo,25,2
819,Marta,Vinícius,24,2
820,Lorena,Germany,21,3
821,Génesis,Mathias,23,4
822,Carolina,Elbio,20,4
823,Ileana,Sergio,21,1
824,Paloma,Adam,19,1
825,Beatriz,Ethan,25,3
826,Gabriela,Daniel,21,4
827,Karina,Aiden,24,2
828,Tara,Marcus,25,3
829,Rafaela,Leopoldo,21,1
830,Zoey,Dylan,21,2
831,Mariela,Yan,20,3
832,Pía,Connor,20,1
833,Monserrat,João Miguel,21,3
834,Julieta,Jorge,20,2
835,Violet,Henrique,22,2
836,Flora,Dylan,20,3
837,Matilde,Nemesio,24,3
838,Francisca,Easton,25,2
839,Aldea,Enzo,20,2
840,Diana,Arthur,22,2
841,Maya,Samuel,20,1
842,Gabriela,Emilio,24,3
843,Mila,Matías,24,3
844,Noelia,Rodrigo,22,2
845,Gloria,Pepe,21,4
846,Manuela,Esteban,22,1
847,Alexa,Lorenzo Miguel,20,4
848,Danae,Caio,19,3
849,Carla,Jordan,24,2
850,Fernanda,Vicente,21,2
851,Eva,Patricio,20,2
852,Quinn,Samuel,23,2
853,Fernanda,Saulo,19,2
854,Natalie,Bruno,20,1
855,Freya,Cole,20,3
856,Olga,Daniel,19,2
857,Mariela,Nathan,22,3
858,Nora,Asafe,21,1
859,Freya,Jorge,22,3
